,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists
140,140,752135,608033,So Real,Jeff Buckley,1994,Secretary,2002.0,,Its So Strange (The Way Love Works),the honeydogs jeff barry ellie greenwich neil diamond
2276,2276,513861,579072,It's Never Sunny In South Philadelphia,The Wonder Years,0,Poetic Justice,1993.0,,Never Dreamed Youd Leave in Summer,stevie wonder syreeta arrangement with polygram special markets
5030,5030,771295,305154,Let Freedom Ring,Bill Whelan / Tsidii Le Loka / Eoghan O'Neill / Des Moore / Noel Heraty / Robbie Harris / The Amanzi Singers,2000,Tricked,2013.0,(#2.2),Let Forever Be,the chemical brothers noel gallagher
5159,5159,673130,36678,Land Of 1000 Dances,Wilson Pickett,1966,Britains Got Talent,2007.0,2016: Auditions 1 (#10.1),Land of a Thousand Dances,chris kenner wilson pickett
5268,5268,931196,262070,High Noon,Tex Williams & Tex Ritter,0,The Porter Wagoner Show,1961.0,Tex Ritter (#1.101),High Noon,dimitri tiomkin ned washington tex ritter
5329,5329,630088,29145,Muda De Vida,Humanos,2004,Bem-Vindos a Beirais,2013.0,O Dia das ConfissÃŒÂµes (#2.11),Muda de Vida,antÃŒ_nio variaÃŒÂ¤ÃŒÂµes humanos
5853,5853,379037,715244,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Voyage,1993.0,,Rocket Man,elton john bernie taupin
8065,8065,411178,635253,Too Hot To Stop (Pt. 1),The Bar-Kays,0,Superbad,2007.0,,Too Hot to Stop,fred freemand harry l. nehls the bar-kays
9236,9236,367631,376069,Atomic Dog (Dogs Of The World Unite Remix) (Explicit) (Feat. Coolio),George Clinton Featuring Coolio,1996,Breakin All the Rules,2004.0,,Atomic Dog,george clinton   (as george clinton jr.) garry m. shider david l. spradley george clinton
9771,9771,278273,299939,Where Did Our Love Go,Lamont Dozier,0,Top of the Pops,1964.0,(1978-09-07),Where Did Our Love Go?,brian holland lamont dozier eddie holland the manhattan transfer
10148,10148,917310,240895,We Built This City,Starship,1985,The Code,2014.0,(#1.2),We Built This City,bernie taupin martin page dennis lambert pÃŒÂ©ter wolf jefferson starship
10259,10259,455437,395100,Moon River (LP Version),Johnny Crawford,0,Cold Chisel Ringside,2004.0,,Big River,johnny cash cold chisel
10451,10451,882827,703287,When Morning Comes,VIP Mass Choir featuring John P. Kee,0,Trollywood,2004.0,,Sunday Morning,the velvet underground john cale lou reed
12477,12477,755647,100254,Good Time [Craig C. Master Blaster Dub],Leela James,0,Good Times,1974.0,Thelmas African Romance: Part 2 (#4.16),Good Times,dave grusin james gilstrap blinky
12865,12865,117822,464282,It's Hard to Be Me,Cyndi Lauper,2002,Hard to Be Me,2010.0,,Its Hard to Be Me,cyndi lauper rob hyman william wittman
15233,15233,446978,383785,Unchained Melody,Righteous Brothers,1965,Canary Brothers of Tondo,1992.0,,Unchained Melody,alex north the righteous brothers
17539,17539,819517,346665,Little Star,The Elegants,1986,American Hot Wax,1978.0,,Little Star,arthur venosa vito picone the elegants
17591,17591,499545,388741,Ladies Night,Kool And The Gang,1988,Charlie Wilsons War,2007.0,,LADIES NIGHT,george funky brown robert kool bell kool the gang
17776,17776,595261,388741,Good Night,Niko De Luka & Brown Sugar feat. Dawn Tallman,0,Charlie Wilsons War,2007.0,,LADIES NIGHT,george funky brown robert kool bell kool the gang
20791,20791,727067,692188,Mars (Bringer Of War) (1926 recording),Gustav Holst,0,The World Within,2010.0,,Mars  the Bringer of War,gustav holst the us air force band
21616,21616,45719,479180,Bridal Chorus,Richard Wagner / Otto Sieben,1991,I Live for Love,1935.0,,Bridal Chorus,richard wagner
22867,22867,46682,595521,Pump Me Up,DJ Jazzy Jeff & The Fresh Prince;Will Smith,0,Risky Business,1983.0,,The Pump,tony hymas simon phillips jeff beck
23264,23264,937425,355024,God Bless The Child,Chris Botti;Paula Cole,0,August Rush,2007.0,,God Bless the Child,arthur herzog jr. billie holiday chris botti paula cole
23661,23661,295994,712909,Just One More Chance,Les Paul & Mary Ford,2002,VerfÃŒ_hrung fÃŒ_r AnfÃŒ_nger,2005.0,,Just For You,lionel richie paul barry mark taylor
24074,24074,524188,460078,Cross Road Blues,Robert Johnson,0,Guitar Hero,2005.0,,Cross Road Blues,robert johnson
24725,24725,847855,381679,Crank That (Soulja Boy) [Travis Barker Remix],Soulja Boy Tell`em,0,CHIKARA: King of Trios 2009 - Night I,2009.0,,Crank That (Soulja Boy),deandre way cortez soulja boy
28523,28523,828845,519850,Cocinando,Ray Barretto,1972,Little Birds,2011.0,,Cocinando Suave,ray barretto
28555,28555,46964,519850,Cocinando Suave,Ray Barretto,1962,Little Birds,2011.0,,Cocinando Suave,ray barretto
28864,28864,823913,523292,Adoro,Armando Manzanero,2002,Los amores de Juan Charrasqueado,1968.0,,Adoro,armando manzanero
31472,31472,961408,623647,She's About A Mover,Sir Douglas Quintet,1969,Sorority Boys,2002.0,,Shes About a Mover,doug sahm sir douglas quintet
32267,32267,215284,45708,Jingle Bells (Album Version),Boney James,0,Chuck,2007.0,Chuck Versus the Crown Vic (#1.11),Jingle Bells,james pierpont
33295,33295,692531,469933,Pretty Young Girl,Bad Boys Blue,1985,High Cs,1930.0,,My Pretty Quadroon,charley chase the ranch boys
33733,33733,280363,674735,Suite: Judy Blue Eyes (Demo),Stephen Stills,0,The Music Never Stopped,2011.0,,Suite: Judy Blue Eyes,stephen stills crosby stills nash arrangement with warner music group film tv licensing
33802,33802,734417,215771,St. Ides Of March,The White Stripes,2003,So You Think You Can Dance Canada,2008.0,Top 10 (#2.16),St. James Infirmary Blues,the white stripes
33919,33919,281796,451284,Time Freezes,Youth Group,0,Ghost Dog: The Way of the Samurai,1999.0,,Armagideon Time,willie williams coxsone dodd arrangement with ocean park music group
34168,34168,139361,629695,Yankee Doodle,George M. Cohan,0,Steel Magnolias,1989.0,,YANKEE DOODLE DANDY,george m. cohan
34222,34222,943037,134586,Walk Around Time,The Robert Cray Band / The Memphis Horns,0,Late Night with Jimmy Fallon,2009.0,(#2.131),Walk Dont Walk,prince robert randolph the family band
37150,37150,905750,731065,My Romance,Jo Stafford,1994,Youth in Revolt,2009.0,,My Romance,lorenz hart richard rodgers jo stafford
37224,37224,461003,156780,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968.0,1750: When Things Get Broken (#29.15),Wont You Be My Neighbor?,fred rogers
38462,38462,784423,162178,Buddy Holly,Rivers Cuomo,2007,My Mad Fat Diary,2013.0,Girls (#2.3),Buddy Holly,rivers cuomo weezer
38632,38632,76521,636822,Barra,Habib Koite,0,Sweet  Sweet Country,2013.0,,Barra,habib koite
38848,38848,168853,110983,If U Can't Dance (Slide),Will Smith,2005,Histeria!,1998.0,The Thomas Jefferson Program (#1.27),If Youre Happy and You Know It,alfred b. smith
40841,40841,333557,680273,I Put a Spell On You,Screamin Jay Hawkins,1956,The Quickie,2001.0,,I Put a Spell on You,screamin jay hawkins nolan f. porter ii mike nelson (tenor baritone sax) ken steiger (guitars
40876,40876,927301,680273,(She Put The)Wamee(On Me),Screaming Jay Hawkins,0,The Quickie,2001.0,,I Put a Spell on You,screamin jay hawkins nolan f. porter ii mike nelson (tenor baritone sax) ken steiger (guitars
44310,44310,745690,312763,We Used To Be Friends,The Dandy Warhols,2003,Veronica Mars,2004.0,Rashard and Wallace Go to White Castle (#2.12),We Used to Be Friends,courtney taylor-taylor grant nicholas the dandy warhols
44344,44344,584823,696100,esperanza,P.I.C.,2000,Three to Five & Glassy,2007.0,,Esperanza,p.i.c.
45293,45293,379551,356243,Saturday Night Fish Fry - Parts 1 & 2 (Digitally Remastered),Louis Jordan & His Tympany Five,0,B.B. King: The Life of Riley,2012.0,,Saturday Night Fish Fry,louis jordan ellis lawrence walsh
46599,46599,506022,301059,Dear Miss Lonely Hearts,Phil Lynott,1980,Top of the Pops,1964.0,(1980-04-17),Dear Miss Lonely Hearts,phil lynott
46897,46897,864973,302787,I Got You - Original Live,James Brown and The Soul G's,0,Top of the Pops,1964.0,(1996-02-15),I Got 5 on It,tone capone claydes smith dennis d.t. thomas denzil foster donald boyce numskull george funky brown jay king yukmouth richard westfield robert kool bell robert spike mickens ronald bell thomas mcelroy luniz
46975,46975,877456,302787,I Got 5 On It,The Luniz featuring Dru Down_ E-40_ Richie Rich_ Shock G_ Spice 1,1995,Top of the Pops,1964.0,(1996-02-15),I Got 5 on It,tone capone claydes smith dennis d.t. thomas denzil foster donald boyce numskull george funky brown jay king yukmouth richard westfield robert kool bell robert spike mickens ronald bell thomas mcelroy luniz
48305,48305,372252,53272,Carmen Suite: Intermezzo,Georges Bizet,1993,Curb Your Enthusiasm,2000.0,The Car Pool Lane (#4.6),Carmen - Gypsy Dance,georges bizet
48812,48812,56486,393392,The Man With The Magic Touch,The Brian Setzer Orchestra,1996,Classic Widows,1995.0,,Odd Man Out  Prelude,william alwyn london symphony orchestra
52113,52113,222260,597064,I Never Had A Sweetheart,Connie Francis,1993,Rock Rock Rock!,1956.0,,I Never Had A Sweetheart,connie francis
55766,55766,652902,329098,September When It Comes,Rosanne Cash Featuring Johnny Cash,2000,29 und noch Jungfrau,2007.0,,When We Are Together,johnny mcelhone sharleen spiteri texas
56723,56723,649531,148438,TÌ« Fora,Kelly Key,2008,MalhaÃŒÂ¤ÃŒÂ£o,1995.0,,TÃŒÂ« Fora,kelly key
59846,59846,611352,548898,Woh Ladki Hai,Sonu Nigam,0,Muskaan,2004.0,,Woh Ho Tum,sameer nikhil vinay anuradha paudwal sonu nigam
64124,64124,389722,217184,Circus,Kelis,2006,So You Think You Can Dance,2005.0,Top 14 Results (#3.13),Circus,kelis
64159,64159,840223,658665,Epigraph No. 1_ Var. 1,Ketil BjÌürnstad_ David Darling,2000,The Exorcist,1973.0,,Study No. 1,david borden
64523,64523,676171,678094,The Way You Look Tonight,Frank Chacksfield  Orchestra,0,The Perfect You,2002.0,,No Way,michael sherwood bobby sherwood orchestra
64537,64537,3181,678094,The Way We Were,The London Pops Orchestra,0,The Perfect You,2002.0,,No Way,michael sherwood bobby sherwood orchestra
65434,65434,461690,546353,Black & Blue,Jim Boggia,2001,Moving Malcolm,2003.0,,Black & Blue,jim boggia
65532,65532,688387,677170,Wild About You Baby - Live,Hound Dog Taylor and The Houserockers,0,The Outing,1987.0,,WILD SIDE OF ME,taylor rhodes
65816,65816,325479,86057,Symphony No. 9 In D Minor_ Op. 125; lll Adagio Molto E Cantabile,Ludwig van Beethoven,0,Everybody Loves Raymond,1996.0,Working Girl (#3.22),Symphony No. 94 - Ode to Joy,ludwig van beethoven
66974,66974,765987,12434,Dirty Man,Laura Lee,1967,American Idol: The Search for a Superstar,2002.0,Top Three Performance (#9.40),Simple Man,ronnie van zant gary rossington lee dewyze
67362,67362,47825,643267,A Good Man Is Hard To Find,Les Brown,2001,Thats Entertainment  Part II,1976.0,,Good Morning,nacio herb brown gene kelly debbie reynolds donald oconnor
68867,68867,958516,571016,Creo En Ti,Miguel BosÌ©,2007,Papitwo,2012.0,,Creo en tÃŒ_,josÃŒÂ© luis perales miguel bosÃŒÂ©
68884,68884,19924,185424,Tocar Na Banda,Adoniran Barbosa,0,Por Toda Minha Vida,2006.0,Adoniran Barbosa (#4.1),Tocar na Banda,adoniran barbosa
69248,69248,127132,30124,Wicked Game (Remastered Album Version),Chris Isaak,2006,Beverly Hills  90210,1990.0,One Man and a Baby (#1.11),Wicked Game,chris isaak
70809,70809,215284,671208,Jingle Bells (Album Version),Boney James,0,The Long Kiss Goodnight,1996.0,,Jingle Bells,james pierpont jingle dogs
71929,71929,372513,431573,Talk About Suffering,The John Renbourn Group,1977,Er shi si cheng ji,2008.0,,Bring about brilliance again,chengfa group
71996,71996,639989,646949,Different Kind Of Man,Syl Johnson,0,The Art of the Steal,2013.0,,What Kind of Man Are You,joseph evans jimmy feagan dolores johnson
72095,72095,453545,239529,I Just Want To Make Love To You,Willie Dixon,1989,The Blues,2003.0,Godfathers and Sons (#1.5),I Just Want to Make Love to You,willie dixon the rolling stones
72407,72407,67657,672340,Phase Dance,Pat Metheny_ Lyle Mays_ Mark Egan_ Dan Gottlieb,1978,The Majorettes,1987.0,,Dance of the Ancients,mark harbst
72511,72511,713865,278183,Shut Up and Leave Me Alone,The Michael Stanley Band,0,The Tonight Show with Jay Leno,1992.0,(#20.14),Up Around the Bend,john fogerty the tonight show band
72690,72690,507937,278183,Up Yours! (2001 Digital Remaster),The Edgar Broughton Band,0,The Tonight Show with Jay Leno,1992.0,(#20.14),Up Around the Bend,john fogerty the tonight show band
72969,72969,390025,104058,Flamenco Sketches,Jason Miles,0,Grimm,2011.0,Nobody Knows the Trubel Ive Seen (#3.19),Flamenco Sketches,miles davis
75332,75332,732729,228190,Somebody Told Me,The Killers,2004,Subterranean,2003.0,The Streets,Somebody Told Me,the killers
79041,79041,422164,640875,Not Tonight,Dead Luke,2008,Teenage Dirtbag,2009.0,,Youre Not The Law,johannes wanngren andreas sandberg dr. living dead
79677,79677,465749,225993,Wherever I Lay My Hat (That's My Home),Marvin Gaye,1963,Stars in Their Eyes,1990.0,(#5.2),Wherever I Lay My Hat (Thats My Home),marvin gaye barrett strong norman whitfield paul sansome
82822,82822,634424,560196,Coz I Luv You,Slade,1971,Nothing Personal,1995.0,,Coz I Luv You,jim lea slade
82999,82999,736177,709873,Bridge Over Troubled Water,Paul Mauriat And His Orchestra,0,Unusual Occupations,1942.0,,London Bridge Is Falling Down,studio orchestra
83444,83444,9771,66821,Solta,Pedro Khima,2007,Deixa-me Amar,2007.0,(#1.36),Solta,pedro khima
83910,83910,99074,380243,Calm Down,The Mohawk Lodge,2007,Burgeon and Fade,2007.0,,Calm Down,mohawk lodge
85368,85368,594478,492065,Purple Haze,Jimi Hendrix,1969,Jimi Hendrix at the Isle of Wight,1991.0,,Purple Haze,jimi hendrix
85425,85425,99955,524271,You Can Be Flirty,Chris T-T,2000,Lottery Ticket,2010.0,,I Can Transform Ya,chris brown lil wayne swizz beatz jason poo bear boyd lonny bereal
85558,85558,719873,524271,You Can Make It If You Try,Yvonne Fair / James Brown,0,Lottery Ticket,2010.0,,I Can Transform Ya,chris brown lil wayne swizz beatz jason poo bear boyd lonny bereal
89119,89119,175676,569055,Sweet Georgia Brown (1991 Digital Remaster),The King Cole Trio,0,Outside Providence,1999.0,,Sweet Home Alabama,edward king gary rossington ronnie van zant lynyrd skynyrd
91795,91795,892240,137187,Mon amant de saint jean,Lucienne Delyle,1993,Les Refrains de la mÃŒÂ©moire,2001.0,Mon amant de Saint Jean... 1942,Mon amant de Saint Jean,ÃŒÃ¤mile carrara lucienne delyle
95905,95905,266661,393221,Mairzy Doats,The Merry Macs,1987,Class of 44,1973.0,,Mairzy Doats,milton drake al hoffman jerry livingston the merry macs
96433,96433,441070,301940,Physical (Live At The Sydney Opera House),Olivia Newton-John,0,Top of the Pops,1964.0,(1982-12-30),Physical,steve kipner terry shaddick olivia newton-john
98008,98008,882228,234312,Blame It On the Boogie,Tony Jackson,0,Tennis: Eastbourne,2008.0,2016: Thursday  Part 2,Blame It on the Boogie,jackson 5
98111,98111,314223,494369,Saddest Day Of My Life,Tony Curtis,0,Joy Division,2007.0,,Day of the Lords,joy division ian curtis    / peter hook    / bernard sumner   / stephen morris
100201,100201,915230,139994,The Tears Of A Clown,Smokey Robinson & The Miracles,1967,Live from Daryls House,2007.0,Smokey Robinson (#1.22),Tears of a Clown,henry cosby smokey robinson stevie wonder
102787,102787,618338,514353,Country Music In My Soul,George Hamilton IV & Sylvie,0,Lease of Life,1954.0,,Water Music,george frideric handel
103678,103678,422690,445588,Les trois cloches,Les Compagnons de la Chanson (Avec Edith Piaf),1988,French Kiss,1995.0,,Les Yeux De Ton Pere,les negresses vertes mathieu crespin jean-marie paulus noel rota stefane mellino
103715,103715,418923,445588,Les AurÌ©oles,Les VRP,1990,French Kiss,1995.0,,Les Yeux De Ton Pere,les negresses vertes mathieu crespin jean-marie paulus noel rota stefane mellino
104082,104082,461003,155796,Why Wont You,The Rogers Sisters,2006,MisteRogers Neighborhood,1968.0,1266 (#6.6),Wont You Be My Neighbor?,fred rogers
104189,104189,376551,676626,Papercut (Live In Texas),Linkin Park,2003,The One,2001.0,,Papercut,chester bennington linkin park
106327,106327,922375,503154,Make A Stand (Album Version),River City Rebels,0,Knockaround Guys,2001.0,,Make a Deal with the City,f.m. cornog east river pipe arrangement with bug music inc.
106782,106782,640335,486415,Carmen Suite: Gipsy Dance,Georges Bizet,0,Invisible Ink,2015.0,,Carmen,georges bizet
107674,107674,659224,217966,Dog Days Are Over (Demo),Florence + The Machine,2009,So You Think You Can Dance,2005.0,Top Three Perform (#7.22),Dog Days Are Over,florence welch isabella summers florence the machine
111584,111584,325624,91307,Big Fine Girl,Wilbur deParis_ Jimmy Witherspoon,1949,Franks Place,1987.0,Night Business (#1.17),Big Boss Man,jimmy reed
112253,112253,399984,189689,Aunque Lo Quieran o No,Jorge Negrete,0,Que te perdone Dios,2015.0,(#1.87),Aunque ahora estÃŒÂ©s con el,jorge eduardo murguÃŒ_a mauricio arriaga calibre 50
112701,112701,61737,480768,I Turn To You,The John Earl Walker Band,0,Ill Turn to You,1946.0,,Ill Turn to You,john mchugh
115029,115029,462631,415550,Fool on the Hill,John Williams,0,Dinner for Schmucks,2010.0,,The Fool on the Hill,john lennon paul mccartney the beatles
115042,115042,382414,415550,Pity The Fool ( LP Version ),The Paul Butterfield Blues Band,1967,Dinner for Schmucks,2010.0,,The Fool on the Hill,john lennon paul mccartney the beatles
116508,116508,465879,53256,Die Jesus-TagebÌ_cher,Johann KÌ¦hnich,0,Curb Your Enthusiasm,2000.0,The Bowtie (#5.2),Die Fledermaus Overture,johann strauss
117210,117210,905861,683218,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,The Sea Gull,1968.0,,Sonata No.25 in G  Op.79,ludwig van beethoven
118726,118726,654167,255824,Soul I Want,William Topley,0,The Mickey Mouse Club,1955.0,(#1.1),What I Want To Be,william lava
120073,120073,671826,99222,Alfie,Kenny G featuring Burt Bacharach,0,Glee,2009.0,What the World Needs Now (#6.6),Alfie,burt bacharach hal david naya rivera
124962,124962,759656,125684,Big Trouble,Robert Palmer,1994,Justified,2010.0,Guy Walks Into a Bar (#3.10),Big Dog Blues,robert j. walsh
127003,127003,776435,522724,I Want To See The Bright Lights Tonight,Richard Thompson / Linda Thompson,1984,Looper,2012.0,,I Want to See the Bright Lights Tonight,richard thompson linda thompson
127142,127142,387562,690166,Lonelier Than This,Steve Earle,2000,The War Boys,2009.0,,Lonelier Than This,steve earle
127158,127158,30284,270520,When You Wish Upon A Star,Cliff Edwards/Disney Studio Chorus,1991,The Steve Allen Show,1956.0,(#1.9),When My Dream Boat Comes Home,cliff friend dave franklin fats domino
128516,128516,579817,648162,I Want You!,Peter Bjorn And John,2009,The Beatles: 1,2015.0,,I Want to Hold Your Hand,john lennon paul mccartney the beatles
128601,128601,381488,648162,I Want To Be With You (Live @ The Troubadour_ LosAngeles),The Paul Butterfield Blues Band,0,The Beatles: 1,2015.0,,I Want to Hold Your Hand,john lennon paul mccartney the beatles
128857,128857,199010,136410,Ocean and a Rock,Lisa Hannigan,2009,Later... With Jools Holland,1992.0,(#34.6),Ocean and a Rock,lisa hannigan
129524,129524,330050,393897,Soul Breathe,Chad,0,Clockstoppers,2002.0,,Breathe,chad kroeger mike kroeger ryan peake nickelback
129730,129730,651540,618083,The James Bond Theme,Neil Norman And His Cosmic Orchestra,0,Skyfall,2012.0,,The Names Bond... James Bond,monty norman
130573,130573,273298,460574,Thank You (Falettinme Be Mice Elf Agin),Sly & The Family Stone,1969,Guitar Man,2009.0,,Thank You (Falettinme Be Mice Elf Agin),sly stone sammy hagar neal schon nile rodgers narada michael walden
131192,131192,57832,241498,The Man On The Flying Trapeze,Eddie Cantor,1994,The Danny Kaye Show,1963.0,(#1.4),When the Song and Dance Man Came to Town,danny kaye mary tyler moore eddie foy jr.
131309,131309,945922,452050,A Walk On The Wild Side Of Life,David Ball,1994,Girl,1998.0,,I Walk the Mole,david bassett walter salas-humara the moles
131805,131805,698530,253292,My Blue Heaven,Warner Williams and Jay Summerour,0,The Marty Stuart Show,2008.0,Charley Pride (#6.20),Im Blue  Im Lonesome,bill monroe hank williams marty stuart the fabulous superlatives
133116,133116,348706,100231,Good Lovin',Sam & Dave,1987,Good Times,1974.0,The Physical (#6.20),Good Times,dave grusin james gilstrap blinky
133331,133331,221915,585679,Clouds (Remix Album Version),Chaka Khan,0,Put the Needle on the Record,2004.0,,Clouds,chaka khan
136777,136777,581327,397565,I'm Gonna Be a Wheel Someday,Fats Domino,1985,Confessions of a Sorority Girl,1994.0,,Im Gonna Be A Wheel Someday,fats domino david bartholomew roy hayes sheryl crow
138192,138192,562715,33160,When I'm A Rock 'n Roll Star (Reprise),David Cassidy,0,Boardwalk Empire,2010.0,A Dangerous Maid (#2.3),When Irish Eyes Are Smiling,ernest ball chauncey olcott george graff david mansfield entcho tochkov robert moose
138809,138809,719873,51560,You Can Make It If You Try,Yvonne Fair / James Brown,0,Creative Galaxy,2013.0,Dads Birthday Breakfast/Dads Restaurant Birthday (#2.1),Food Can Be Art,brian pickett david kelly graeme cornies james chapple voodoo highway music
139319,139319,132951,239835,Future Shock (ReMastered),Curtis Mayfield,2006,The Bobby Goldsboro Show,1973.0,(1973-12-15),Future Shock,curtis mayfield
141938,141938,490988,691873,Spirit In The Sky,Norman Greenbaum,1969,The Wolves of Kromer,1998.0,,Spirit in the Sky,norman greenbaum
142009,142009,227819,301842,Tom Sawyer,Rush,0,Top of the Pops,1964.0,(1981-11-05),Tom Sawyer,rush
143730,143730,939372,554357,After The Gold Rush (Album Version),Neil Young,2004,Neil Young Journeys,2011.0,,After The Gold Rush,neil young
144315,144315,795013,255194,Red Match Box,The Lafayette Afro Rock Band,0,The Match Game,1962.0,(#7.100),The MATCH GamE,the score production band
146119,146119,629119,394764,Rock Me Baby,Mighty Joe Young,0,Cocked,2015.0,,Rock N Roll Train,angus young malcolm young ac/dc
150012,150012,525929,671527,Good Bye my love,ZÌÁmbÌ_ Jimmy,1997,The Lost Boys,1987.0,,Good Times,george young harry vanda inxs jimmy barnes
150051,150051,506516,221005,Girls On Film (BBC Radio 1 Peter Powell Session (Recorded 19th June 1981_ Transmitted 11th August 1981)),Duran Duran,1981,Speed Grapher,2005.0,Okanekudasai (#1.22),Girls on Film,duran duran
153471,153471,678736,48664,Sunday Morning,Maroon 5,2002,Como uma Onda,2004.0,,Sunday Morning,maroon 5
154111,154111,577361,44359,It's Bigger Than Hip Hop (featuring Tahir and People's Army),Dead Prez,2000,Chappelles Show,2003.0,(#2.8),Bigger Than Hip Hop,dead prez
154791,154791,644417,331221,Let Me Talk To You - Acapella,KutMasta Kurt feat. Kool Keith & Motion Man,0,99 Homes,2014.0,,Let Me Down,keith jackson steven davis steve shelton the glass heroes
154889,154889,872892,517151,Ev'ry Time We Say Goodbye,Natalie Cole,2004,Lets Get Lost,1988.0,,Evry Time We Say Goodbye,cole porter
155070,155070,46297,556120,Evening Of Light (2007 Remastered LP Version),Nico,0,Nico Icon,1995.0,,Evening of Light,nico
157084,157084,942860,428522,Wonder,Megan McCauley,2005,Elektra,2005.0,,Wonder,megan rudloff will baker pete woodruff megan mccauley
158789,158789,495068,597841,The Wizard,Uriah Heep,1972,Roger Dean: Views,2001.0,,The Wizard,uriah heep
160144,160144,229335,236837,The Ballad Of The Brave Pink Knight,The Backyardigans,2006,The Backyardigans,2004.0,Knights Are Brave and Strong (#1.9),The Ballad of the Brave Pink Knight (Hey Uniqua),the backyardigans
160408,160408,231113,699472,Banned In DC,Bad Brains,1991,Tony Hawks Proving Ground,2007.0,,Banned in DC,bad brains paul h.r. hudson gary dr. know miller darryl jenifer
160437,160437,75922,210178,Thou Shalt Not Steal (Album Version),Dick & Dee Dee,0,Shindig!,1964.0,(#1.19),Thou Shalt Not Steal,dick dee dee
163355,163355,402726,659737,The Way You Look Tonight,The Golden Age Orchestra_ Paul SummeråÊ,0,The Filth and the Fury,2000.0,,My Way,paul anka  / jacques revaux  / claude franÃŒÂ¤ois   / gilles thibault the sex pistols arrangement with warner special products
166116,166116,209801,538945,Big Yellow Taxi (Remastered LP Version),Joni Mitchell,2004,Message to Love: The Isle of Wight Festival,1997.0,,Big Yellow Taxi,joni mitchell
166912,166912,219189,342630,Auld Lang Syne,Billy Vaughn Orchestra,2004,Alfie,2004.0,,Auld Lang Syne,the louis vause orchestra
176860,176860,516400,370013,The West (World),Peter Kater,2003,Blast from the Past,1999.0,,Its the End of the World As We Know It,michael stipe peter buck mike mills r.e.m.
