,Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artists,gold
361,10631,10631,764342,68686,Alice's Theme,Danny Elfman,2010,Desperate Housewives,2004,One Wonderful Day (#1.23),Theme From Desperate Housewives,danny elfman,0
249,7335,7335,905861,256782,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,The Muppet Show,1976,Helen Reddy (#3.13),Path폴tique Sonata,ludwig van beethoven,0
271,8222,8222,52314,8029,I Get Around (Mono),The Beach Boys,2009,Age tendre et t_te de bois,1961,(1964-11-10),I get around,brian wilson+mike love+the beach boys,1
434,13260,13260,809980,677053,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,The Other Side of Rick Wakeman,2007,,Life On Mars,david bowie,1
397,11716,11716,800327,90797,Good Times (Radio Edit),Roll Deep,2010,Formula 1: BBC Sport,2009,The Monaco Grand Prix (#2.17),Good Times,roll deep,1
402,11898,11898,831341,169773,Walk On The Wild Side,Lou Reed,1972,Och폴ntame... otra vez,2014,Cuando Madrid se mov_a (#1.18),Walk on the Wild Side,lou reed,1
12,670,670,73772,230813,Pikkuneiti ja vaari,Juice Leskinen,1993,Syksyn s_vel,1968,Syksyn s_vel  karsitut (#10.2),Anne ja Jacques,juice leskinen,0
399,11776,11776,477629,472213,Voodoo Child (Slight Return),Jimi Hendrix,1984,Hollywood Hulk Hogan: Hulk Still Rules,2002,,Voodoo Child,jimi hendrix,1
198,6124,6124,367238,89587,Lover_ You Should've Come Over,Jeff Buckley,0,Flashforward,2009,137 Sekunden (#1.3),Lover  You Shouldve Come Over,jeff buckley,1
205,6292,6292,408619,219095,I've Got No Strings,Gipsy Kings,2000,Some Jerk with a Camera,2011,Its a Small World Holiday: Part Two (#1.10),Ive Got No Strings,gipsy kings,1
78,2799,2799,753265,226944,Trio C-Moll f_r Flauto Traverso Violine_ Violoncello und Cembalo aus dem 'Musikalischen Opfer' BWV 1,Johann Sebastian Bach,0,Street Fighter: The Animated Series,1995,So  You Want to Be in Pictures (#2.5),Toccata and Fugue in D Minor  BWV 565,johann sebastian bach,0
144,4440,4440,794575,198948,No One Knows,Queens Of The Stone Age,2002,Rude Tube,2008,Planet Fail (#8.1),No One Knows,queens of the stone age,1
298,9018,9018,764342,231923,Alice's Theme,Danny Elfman,2010,Tales from the Crypt,1989,The Ventriloquists Dummy (#2.10),Tales from the Crypt Theme,danny elfman,0
171,5336,5336,604910,179226,Fighting 17th,Hans Zimmer,1991,Pastor Mike Online,2011,(#1.40),Fighting 17th,hans zimmer,1
268,7977,7977,563319,254974,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,(#5.93),A Swingin Safari (The Theme of The Match Game),bert kaempfert,1
21,913,913,119274,489341,You Can't Rollerskate In A Buffalo Herd,Roger Miller,0,Jackass 3D,2010,,You Cant Rollerskate in a Buffalo Herd,roger miller,1
194,5997,5997,593519,662550,' Cello Song,Nick Drake,0,The Good Girl,2002,,Cello Song,nick drake,1
1,190,190,793988,350918,Day Tripper,Nancy Sinatra,1966,Another Gay Sequel: Gays Gone Wild!,2008,,Another Gay Sunshine Day,nancy sinatra,0
10,625,625,521603,471116,Woman By My Side,Peter Ram,0,Hit for Six,2007,,Woman by my Side,peter ram,1
208,6379,6379,512295,30762,I Will Wait For You,Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys,0,Big Love,2006,Rock and a Hard Place (#2.4),I Feel Like Singing Today,jim lauderdale+ralph stanley,0
76,2753,2753,400218,140714,St. Thomas,Sonny Rollins Quartet,0,Livshunger,2002,(#1.6),SAINT THOMAS,sonny rollins,1
37,1317,1317,344072,320229,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Without a Trace,2002,Copy Cat (#2.5),Arabian Dance,pyotr ilyich tchaikovsky,0
387,11285,11285,564531,612184,Peer Gyant Suite No. 2_ Op. 55 Solveij's Lied,Edvard Grieg,0,Sheherazade: An Oriental Night with the Berliner Philharmoniker,2007,,Arabian Dance (from Peer Gynt Suite No. 2 op. 55),edvard grieg,0
410,12308,12308,774653,710285,Times Like These (LP Version),Dan Fogelberg,0,Urban Cowboy,1980,,Times Like These,dan fogelberg,1
289,8868,8868,814533,362965,Ice,Sarah McLachlan,1993,Bed of Roses,1996,,Ice Cream,sarah mclachlan,1
100,3210,3210,372252,14403,Carmen Suite: Intermezzo,Georges Bizet,1993,Animaniacs,1993,O Silly Mio/Puttin on the Blitz/The Great Wakkorotti: The Summer Concert (#1.31),Carmen - Chanson du Toreador,georges bizet,0
261,7731,7731,695201,300520,C'Mon Everybody (1993 Digital Remaster),Sex Pistols,2002,Top of the Pops,1964,(1979-07-19),CMon Everybody,sharon sheeley+bob cochran+the sex pistols,1
400,11830,11830,593327,485688,La Damnation de Faust Op. 24: Danse des Sylphes (2. Partie),Sir Thomas Beecham/Royal Philharmonic Orchestra,0,Interlude,1968,,Excerpts From Rachmaninoff Symphony No. 2 - 3rd Movement,sergei rachmaninoff+the royal philharmonic orchestra  conducted by ernest fleischmann,0
319,9338,9338,364952,725674,Acetone,The Crystal Method,2004,Wipeout HD,2008,,Acetone,the crystal method,1
206,6340,6340,343665,609610,The Unknown Immortal,Joe Strummer,1987,Seven Psychopaths,2012,,The Unknown Immortal,joe strummer,1
374,10917,10917,815775,708406,Cantata No. 80 A Mighty Fortress Is Our God BWV 80: Chorale_ Cantata No. 80 The Word of God will firm abide against our foes assailing,Johann Sebastian Bach,0,Under Heaven,1998,,Brandenburg Concerto No. 5 in D Major bwv 1050 Allegro,johann sebastian bach,0
283,8531,8531,934395,410065,Dynamic Triptych for Piano & Orchestra_ Op. 88: III. Dynamic Rhythm,Royal Philharmonic Orchestra,0,Degenerate Art,1993,,Concert Music for Piano  Brass & Harps  Op. 49,paul hindemith+the philharmonic orchestra,0
372,10885,10885,556417,638059,Superstition,Stevie Wonder,1972,T.C.,2015,,Superstition,stevie wonder,1
344,10167,10167,90753,642834,Big Girls Don't Cry (LP Version),Frankie Valli & The Four Seasons,0,That Night,1992,,BIG GIRLS DONT CRY,bob crewe+bob gaudio+frankie valli+the four seasons,1
287,8840,8840,490714,75090,Close Encounters of the Third Kind - Suite,The Boston Pops Orchestra / John Williams,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
433,13221,13221,344072,245586,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,The Fresh Beat Band,2009,Pink Swan (#3.9),Swan Lake Act 2 Scene,pyotr ilyich tchaikovsky,0
179,5540,5540,60025,471985,The Mighty Quinn (Quinn_ The Eskimo),Bob Dylan,1991,Hollow Reed,1996,,The Mighty Quinn (Quinn the Eskimo),bob dylan,1
238,7101,7101,806567,685192,Yola My Blues Away,Skip James,1994,The Soul of a Man,2003,,22-20 Blues,skip james,0
388,11306,11306,710167,60950,Ono Soul,Thurston Moore,1995,Daria,1997,Road Worrier (#1.11),Ono Soul,thurston moore,1
302,9084,9084,225612,93469,Escape (The Pina Colada Song),Rupert Holmes,1979,Fringe,2008,Unleashed (#1.16),Escape (The Pi폼a Colada Song),rupert holmes,1
158,5088,5088,532209,463739,A Year & A Day,Neal Casal,2009,Happy End.,2005,,Free Light of Day,neal casal,0
118,3793,3793,94690,17999,Polka Power!,Weird Al Yankovic,1999,Atop the Fourth Wall,2008,The Culling: Superboy #9 (#6.32),The Hot Rocks Polka,weird al yankovic,0
339,10039,10039,307853,657724,Symphony No. 4 in F minor Op. 36 (2003 Digital Remaster): IV.     Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,The Education of Charlie Banks,2007,,Nocturne  Op. 27  No. 2,fr폴d폴ric chopin+the royal philharmonic orchestra,0
424,12882,12882,435953,219237,Combination Boogie (Album Version),Brownsville Station,1975,Some Jerk with a Camera,2011,Thirty Years of EPCOT Part Three: The 1990s and 2000s (#2.5),The Martian Boogie,brownsville station,0
330,9734,9734,794848,301854,When You Tell Me That You Love Me,Westlife with Diana Ross,2005,Top of the Pops,1964,(1981-11-19),Why Do Fools Fall in Love,diana ross,0
296,8999,8999,309675,485681,Finale Medley: Waterloo / Dancing Queen / Fernando,Royal Philharmonic Orchestra,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
164,5184,5184,812033,482578,Domenica Bestiale,Fabio Concato,1982,Il ladro di bambini,1992,,Domenica bestiale,fabio concato,1
54,2123,2123,780663,674375,Mr. Mudd and Mr. Gold (live),Townes Van Zandt,0,The Motel Life,2012,,Mr. Mudd and Mr. Gold,townes van zandt,1
157,5077,5077,446116,548136,Creole Rhapsody,Duke Ellington & His Famous Orchestra,2005,Murder at the Vanities,1934,,Second Hungarian Rhapsody,franz liszt+gertrude michael+duke ellington orchestra,0
71,2660,2660,45719,594193,Bridal Chorus,Richard Wagner / Otto Sieben,1991,Ricki and the Flash,2015,,Bridal Chorus,richard wagner,1
284,8655,8655,702210,149452,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,One Producer Too Many (#7.6),Love Is All Around,sonny curtis,1
6,465,465,545027,362190,Looking Down The Barrel Of A Gun (DJ Moe Love Remix),Beastie Boys,2000,Beastie Boys: Video Anthology,2000,,Looking Down the Barrel of a Gun,the beastie boys,1
343,10113,10113,483093,389483,No Sign Of Rain (Aggie.  Epic.  Soulful.  Great gtr. solo exchanges.),The Gone Jackals,1998,Cheerleader Autopsy,2003,,No Sign Of Rain,the gone jackals,1
326,9684,9684,604995,539686,Symphony No. 5: IX. Death,Philip Glass,0,Mia madre,2015,,String Quartet No. 2: Company,philip glass,0
159,5097,5097,570972,17621,The Four Seasons - Spring - Allegro,Antonio Vivaldi,1989,Atop the Fourth Wall,2008,Comic Book Quickies #3 (#7.25),The Four Seasons: Spring,antonio vivaldi,1
15,692,692,814868,301333,Reach Out And Touch (Somebody's Hand) (Live),Diana Ross,1989,Top of the Pops,1964,(1980-11-20),Im Coming Out,diana ross,0
320,9443,9443,187328,627524,Love Is A Many Splendored Thing,The Four Aces / Al Alberts,1991,St. Trinians,2007,,Love Is a Many Splendored Thing,sammy fain+the four aces,1
60,2230,2230,76235,22294,2 Bad,Michael Jackson,1995,Banda sonora,2007,(#5.3),Bad,michael jackson,1
282,8521,8521,336201,410065,Piano Concerto No. 3 In C Major_ Op. 26: 2. Theme And Variations,Leif Ove Andsnes & Bergen Philharmonic Orchestra,0,Degenerate Art,1993,,Concert Music for Piano  Brass & Harps  Op. 49,paul hindemith+the philharmonic orchestra,0
142,4401,4401,16377,8737,Concerto for Orchestra (Zoroastrian Riddles) (1996)/3. Adagio non troppo,David Zinman;Pittsburgh Symphony Orchestra,0,Aleph  lectures contades,1999,Franz Kafka,Piano Concerto No. 1,b폴la bart_k+london symphony orchestra,0
56,2168,2168,443145,213652,Impromtu No. 2 in A-Flat Major_ Op. 142,Sviatoslav Richter_ Franz Schubert,0,Six Feet Under,2001,The Plan (#2.3),Opus 29  No. 1  Andante,franz schubert,0
124,3867,3867,552483,634035,Energy Spent,Liam Finn,2007,Summer Coda,2010,,Energy Spent,liam finn,1
107,3456,3456,773250,302069,You Give Love A Bad Name,Bon Jovi,1986,Top of the Pops,1964,(1986-09-04),You Give Love a Bad Name,jon bon jovi+richie sambora+desmond child+bon jovi,1
132,4098,4098,541775,634316,We Want Some Pussy (Liberty City Long Hard Mix),The 2 Live Crew,2002,Summerhood,2008,,We Want Some Pussy,luther campbell+brother marquis+mr. mixx+fresh kid ice+2 live crew,1
381,11149,11149,743367,473363,Entre Col Y Col (Buler_as),Lola Flores,0,Homenaje a Lola Flores,1990,,Pan y chocolate,lola flores+carmen flores+lolita flores+rosario flores,0
102,3218,3218,173252,552368,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Naked As We Came,2013,,Overture (Suite) No. 3 in D major  BWV 1068 - II. Air,johann sebastian bach+,0
160,5104,5104,169555,367944,Suite Ana Magdalena,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 6 in D Major  BWV 1012- Gavotte I/II,johann sebastian bach+yo-yo ma+arrangement with sony music licensing,0
141,4387,4387,222429,8737,Symphony No. 3 In C Major_ Andante,Trondheim Symphony Orchestra,0,Aleph  lectures contades,1999,Franz Kafka,Piano Concerto No. 1,b폴la bart_k+london symphony orchestra,0
186,5812,5812,470686,273591,Ignition,R. Kelly,2003,The Tonight Show Starring Jimmy Fallon,2014,Ricky Gervais/Ariana Grande (#3.134),Ignition (Remix),r. kelly,1
440,13377,13377,547355,164703,HUNGARIAN DANCE No.3,Johannes Brahms / Gerhard Kanzian / Ed Lewis,0,Naeildo kantabille,2014,Lesson 11 (#1.11),Hungarian Dance No. 5,johannes brahms,0
90,3024,3024,798785,648975,Marching To The Killing Rhythm (Album Version),Darkest Hour,0,The Big Bounce,2004,,Marching To The Killing Rhythm,darkest hour,1
59,2206,2206,663893,345331,Higher State Of Consciousness,Josh Wink,0,Als wir tr_umten,2015,,Higher State of Conciousness,josh wink,1
347,10195,10195,364962,201244,Cuando No Es Contigo,Christina Aguilera,2000,Saturday Night Live,1975,Alec Baldwin/Christina Aguilera (#32.5),Aint No Other Man,christina aguilera,0
233,6937,6937,87961,570966,No Hay Ni Un Coraz_n Que Valga La Pena,Miguel Bos폴,1999,Papito,2007,,Como un lobo,miguel bos폴+giorgio vanni+claudio donofrio+paolo costa+marco tazzi+m. ogletree+bimba bos폴,0
426,12935,12935,698463,69599,Dexter Main Title,Rolfe Kent,2007,Dexter,2006,Hungry Man (#4.9),Dexter Main Title,rolfe kent,1
65,2344,2344,9771,65591,Solta,Pedro Khima,2007,Deixa-me Amar,2007,(#1.151),Solta,pedro khima,1
437,13318,13318,860124,315789,Inside Straight,The Dirty Dozen Brass Band,0,Waterloo Road,2006,End of the Road (#9.19),A Gust Inside the God,youngblood brass band,0
155,5033,5033,500255,560716,Sometimes I See,Sophie B. Hawkins,1994,Now and Then,1995,,As I Lay Me Down,sophie b. hawkins+arrangement with sony music licensing,0
122,3847,3847,325479,542578,Symphony No. 9 In D Minor_ Op. 125; lll Adagio Molto E Cantabile,Ludwig van Beethoven,0,Mission: Impossible III,2006,,String Quartet in C Minor  Op. 18 No. 4,ludwig van beethoven+kodaly quartet+arrangement with source/q,0
276,8414,8414,712305,124926,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,JonTron,2010,Home Alone Games (#5.1),Home Alone Theme,john williams,0
188,5894,5894,604990,655873,Old Fashioned Love,James P Johnson,0,The Delinquents,1957,,A Porters Love Song to a Chambermaid,james p. johnson+andy razaf+the bill nolan quintet minus two+julia lee   in the opening sequence,0
96,3105,3105,98350,600739,Quizas_ Quizas_ Quizas (Perhaps_ Perhaps_ Perhaps) (2003 Digital Remaster),Nat King Cole,0,Running with Scissors,2006,,Quizas  Quizas  Quizas (Perhaps  Perhaps  Perhaps),osvaldo farr폴s+nat king cole,1
170,5274,5274,852804,596629,March,The Boston Pops Orchestra / John Williams,0,Robot Chicken: Star Wars Episode III,2010,,The Imperial March (Darth Vaders Theme),john williams,0
113,3648,3648,453218,67453,Saia Indiscreta,Filarm_nica Gil,0,Deixa-me Amar,2007,(#1.93),Saia indiscreta,filarm_nica gil,1
380,11145,11145,141406,103388,Love Will Tear Us Apart,Susanna And The Magical Orchestra,2006,Greys Anatomy,2005,Six Days: Part 2 (#3.12),Love Will Tear Us Apart,ian curtis+peter hook+stephen morris+bernard sumner+susanna+the magical orchestra,1
213,6456,6456,41720,395530,Beat Me 'Til I'm Blue,Alan Hawkshaw,2007,Colombiana,2011,,Beat Me til Im Blue,alan hawkshaw,1
134,4111,4111,392001,25940,Comfortably Numb (Album Version),Scissor Sisters,2004,Being Human,2008,Where the Wild Things Are (#1.5),Comfortably Numb,the scissor sisters,1
49,1745,1745,394428,330290,Cantata No. 4 Christ Lay in the Bonds of Death BWV 4: Final Chorale  With Loving Hearts We Keep Today the Feast God Hath Us Given,Johann Sebastian Bach,0,53 d_as de invierno,2006,,Musical Offering BWV 1070 (Trio),johann sebastian bach+pere bardag_+manuel mart_nez del fresno+dani espasa+nelia sanchis,0
52,1966,1966,45322,602680,Oye Como Va - Andy BopH Remix,Tito Puente Jr. ft India,0,Salsa,1988,,Oye Como Va,tito puente,1
74,2725,2725,877636,471276,The Count (aka Herv폴) And Lily Face The Fear,Lily Allen,2009,Hits,2014,,The Fear,lily allen,1
26,1048,1048,892274,44186,Pencil Full Of Lead (Radio Edit),Paolo Nutini,2009,Champion of Champions,2013,2015: Day Two - Part 2 (#3.4),Pencil Full of Lead,paolo nutini,1
45,1705,1705,368997,13390,No lo digo por nada,Alejandro Sanz,2007,Amores verdaderos,2012,Striptease (#1.40),No me compares,alejandro sanz,0
369,10815,10815,173252,364461,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Below Utopia,1997,,Suite for Orchestra No. 3 in D Major  BWV 1068,johann sebastian bach,0
154,4957,4957,853279,551163,William Tell Overture,Arthur Fiedler;Boston Pops Orchestra,0,Mythica: The Darkspore,2015,,Tell Me,nathaniel drew+kristen marie jensen+the salt lake pops orchestra,0
4,446,446,813762,95059,All I Know,The Pigeon Detectives,2007,Gavin & Stacey,2007,(#2.7),I Found Out,the pigeon detectives,0
385,11257,11257,888487,52557,Cynical Girl,Marshall Crenshaw,1982,Crossing Jordan,2001,Til Death Do Us Part (#3.3),Cynical Girl,marshall crenshaw,1
225,6792,6792,433796,33329,Mama Don't Allow It,Preservation Hall Jazz Band,1998,Boardwalk Empire,2010,Family Limitation (#1.6),Sweet Mama (Papas Getting Mad),peter frost+george a. little+fred rose+original dixieland jazz band,0
327,9686,9686,916395,725634,We Have Explosive (Part 1),Future Sound Of London,0,Wipeout 2097,1996,,We Have Explosive,the future sound of london,1
264,7930,7930,954761,337235,Eanie Meany 2 (Album Version),Jim Noir,2005,A.C.O.D.,2013,,Eeny Meany,jim noir,1
8,562,562,288397,317436,Life Goes On,TURNING POINT,0,Weltber_hmt in _sterreich - 50 Jahre Austropop,2006,Die Szenen der Szene (#2.1),Life Is Going On,turning point,1
190,5929,5929,825276,112131,Chapel of Love,The Dixie Cups,1964,Hollywood a Go Go,1964,(#1.54),Chapel of Love,phil spector+jeff barry+ellie greenwich+the dixie cups,1
5,452,452,586556,79955,Setting Sun (2003 Digital Remaster) (Feat. Noel Gallagher),The Chemical Brothers Featuring Noel Gallagher,2008,Egos & Icons,1997,Oasis,Setting Sun,tom rowlands+ed simons+noel gallagher+the chemical brothers,1
357,10557,10557,237873,192879,Desperados Under The Eaves [Take 2 - 1/13/76],Warren Zevon,0,Ray Donovan,2013,Get Even Before Leavin (#4.5),Desperados Under The Eaves,warren zevon,1
200,6129,6129,961470,700049,Instant Replay,Dan Hartman,1978,Top of the Pops: The Story of 1978,2013,,Instant Replay,dan hartman,1
313,9262,9262,77636,329636,Zephirum scan,Kim Cascone,2003,3600 Frames,2010,,Zephirum Scan,kim cascone,1
7,559,559,696952,235961,Have I Told You Lately That I Love You,Kitty Wells & Roy Drusky,0,The Aliens,2016,(#1.3),The Things I Might Have Been,kitty wells,0
325,9663,9663,173252,721927,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,When Will I Be Loved,2004,,Praeambulum in C Major  BWV 924,johann sebastian bach+glenn gould+arrangement with sony music licensing,0
365,10695,10695,555070,340947,Ballet Suite From The Nutcracker Op. 71a: Dance Of The Sugar Plum Fairy,London Festival Orchestra,0,Afternoon of a Faun: Tanaquil Le Clercq,2013,,The Nutcracker  Op. 71a  Pas de Deux  Dance of the Prince and the Sugar-Plum Fairy,london symphony orchestra  / charles mackerras,1
22,964,964,345856,528937,A Still Life Franchise (Album Version),Less Than Jake,0,Madden NFL 2007,2006,,Still Life Franchise,less than jake,1
68,2406,2406,944704,66715,Can_폮o Simples,Tiago Bettencourt,2007,Deixa-me Amar,2007,(#1.27),Can_폮o simples,tiago bettencourt,1
436,13290,13290,835974,85673,Who Do You Love,Steve Miller Band,1994,Everybody Loves Raymond,1996,Meeting the Parents (#7.17),Jungle Love,steve miller band,0
20,897,897,280974,666801,The Girl From Ipanema,Antonio Carlos Jobim / Stan Getz,0,The Intern,2015,,The Girl From Ipanema,antonio carlos jobim+norman gimbel+vinicius de moraes+astrud gilberto,1
353,10322,10322,820685,680421,White Lines (Don't Do It),Grandmaster Flash & Melle Mel,1983,The Rack Pack,2016,,White Lines (Dont Do It),melle mel+sylvia robinson+grandmaster flash,1
281,8473,8473,568632,627106,Iguazu,Gustavo A. Santaolalla,1999,Sputnik Mania,2007,,Iguazu,gustavo santaolalla,1
14,691,691,813177,92215,I Don't Want To Be,Gavin DeGraw,2003,Friday Night Football,2002,Round 23: Richmond vs North Melbourne (#14.27),I Dont Want to Be,performed by gavin degraw,1
300,9061,9061,577554,487589,Holiday For Strings,David Rose & His Orchestra,1967,It Could Happen to You,1994,,Holiday for Strings,david rose+the david rose   string orchestra,1
240,7157,7157,709993,266488,Perversion 99,Rob Zombie,1998,The Scissoring: Origins,2014,The Final (#1.8)} {{SUSPENDED},Perversion 99,rob zombie,1
175,5464,5464,45719,656744,Bridal Chorus,Richard Wagner / Otto Sieben,1991,The Divorcee,1930,,Bridal Chorus (Here Comes the Bride),richard wagner,1
411,12315,12315,667635,361773,Moon River,Henry Mancini & His Orchestra,1961,Bayonetta 2,2014,,Moon River (8 Climax Mix),henry mancini,1
153,4895,4895,924244,638778,Safety Dance,Men Without Hats,1992,Take Me Home Tonight,2011,,Safety Dance,ivan doroschuk+men without hats,1
75,2746,2746,82643,362230,Remote Control,Beastie Boys,1998,Beastie Boys: Video Anthology,2000,,Remote Control,the beastie boys,1
64,2308,2308,225366,447564,In Private,Paul McCartney,2007,Funny People,2009,,In Private,paul mccartney,1
55,2156,2156,252756,446315,Subterranean Homesick Blues,Bob Dylan,1965,Frogs for Snakes,1998,,Subterranean Homesick Blues,bob dylan,1
135,4182,4182,248894,447216,Salm - 1st Movement,New Zealand Symphony Orchestra / William Southgate,0,Full Frame,2015,,Symphony #6 - Movement 4,pyotr ilyich tchaikovsky+rfcm symphony orchestra,0
329,9707,9707,942799,444624,Roll With My Baby,Zoot Money's Big Roll Band,0,Frauds,1993,,Ive Got You Under My Skin,cole porter+marcia hines  with bob coassins big band,0
81,2891,2891,130033,24017,Swan Lake_ Op. 20: Danse espagnole,Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Pyotr Ilyich Tchaikovsky_ Vasily Petrenko_ Royal Liverpool Philharmonic Orchestra,0,Batman,1966,The Devils Fingers (#2.15),Danse Arabe,pyotr ilyich tchaikovsky+liberace,0
316,9310,9310,491461,437444,Imagination,Belouis Some,1984,Fatherland,1986,,Imagination,belouis some,1
368,10810,10810,247188,364461,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Below Utopia,1997,,Suite for Orchestra No. 3 in D Major  BWV 1068,johann sebastian bach,0
328,9698,9698,682896,444624,Let Me Entertain You,Nina Hagen & Leipzig Big Band,2003,Frauds,1993,,Ive Got You Under My Skin,cole porter+marcia hines  with bob coassins big band,0
413,12476,12476,722722,127300,Redemption Day,Sheryl Crow,1996,Katie,2012,Molly Deadly Club Drug/Mouth and Foot Painters (#2.29),This Day,sheryl crow,0
420,12687,12687,249382,417117,Trail to Mexico (Mexican Institute Of Sound Remix),Johnny Cash,2009,Django Unchained,2012,,Aint No Grave (Black Opium Remix),johnny cash,0
360,10624,10624,247188,725494,Mass in B Minor BWV 232: Gratias Agimus,Johann Sebastian Bach,0,Winter Flight,1984,,Minor Prelude,johann sebastian bach,0
414,12487,12487,353245,419995,Fiesta (Version Original Sin Censura),Joan Manuel Serrat,1970,Dos p폜jaros de un tiro,2007,,Fiesta,joan manuel serrat+joaqu_n sabina,1
