Column1,_id,ltable_id,rtable_id,ltable_title,ltable_artist_name,ltable_year,rtable_title,rtable_year,rtable_episode,rtable_song,rtable_artist_name,gold
4749,4749,372252,111022,Carmen Suite: Intermezzo,Georges Bizet,1993,Histeria!,1998,The Wheel of History (#1.17),Carmen - March of the Toreadors,georges bizet,0
4773,4773,897241,582183,Looking for paradise (Feat. Alicia Keys) (Pedro del Moral_ John Jacobsen & Anzwer Remix),Alejandro Sanz,0,Premios Principales 2010,2010,,Looking for Paradise,alejandro sanz,1
4786,4786,385889,3412,I'm Your Boogie Man,White Zombie,2003,666 Park Avenue,2012,A Crowd of Demons (#1.5),Im Your Boogie Man (Sex On The Rocks Remix),white zombie,1
4884,4884,659419,257411,Those Lazy_ Hazy_ Crazy Days Of Summer (1990 Digital Remaster),Nat King Cole,1994,The Nat King Cole Show,1954,(#1.10),Crazy Rhythm,joseph meyer+roger wolfe kahn+nat king cole,0
4892,4892,345743,301111,Greatest Cockney Rip-Off,Cockney Rejects,0,Top of the Pops,1964,(1980-05-08),The Greatest Cockney Rip-Off,cockney rejects,1
4895,4895,924244,638778,Safety Dance,Men Without Hats,1992,Take Me Home Tonight,2011,,Safety Dance,ivan doroschuk+men without hats,1
4957,4957,853279,551163,William Tell Overture,Arthur Fiedler;Boston Pops Orchestra,0,Mythica: The Darkspore,2015,,Tell Me,nathaniel drew+kristen marie jensen+the salt lake pops orchestra,0
5033,5033,500255,560716,Sometimes I See,Sophie B. Hawkins,1994,Now and Then,1995,,As I Lay Me Down,sophie b. hawkins+arrangement with sony music licensing,0
5055,5055,648460,26081,Eras Tu (A Metade De Mim),Tony Carreira,0,Belmonte,2013,(#1.100),E Agora Tu Vais (Vais Deixar a Minha Vida),tony carreira,0
5077,5077,446116,548136,Creole Rhapsody,Duke Ellington & His Famous Orchestra,2005,Murder at the Vanities,1934,,Second Hungarian Rhapsody,franz liszt+gertrude michael+duke ellington orchestra,0
5088,5088,532209,463739,A Year & A Day,Neal Casal,2009,Happy End.,2005,,Free Light of Day,neal casal,0
5097,5097,570972,17621,The Four Seasons - Spring - Allegro,Antonio Vivaldi,1989,Atop the Fourth Wall,2008,Comic Book Quickies #3 (#7.25),The Four Seasons: Spring,antonio vivaldi,1
5104,5104,169555,367944,Suite Ana Magdalena,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 6 in D Major  BWV 1012- Gavotte I/II,johann sebastian bach+yo-yo ma+arrangement with sony music licensing,0
5109,5109,173252,367944,Symphony No. 1 In B-Flat Major_ Op 9,Johann Sebastian Bach,0,Bill W.,2012,,Unaccompanied Cello Suite No. 6 in D Major  BWV 1012- Gavotte I/II,johann sebastian bach+yo-yo ma+arrangement with sony music licensing,0
5176,5176,94542,689293,Emergency Performance Art Piece,The Most Serene Republic,2006,The Untitled Work of Paul Shepard,2010,,Emergency Performance Art Piece,the most serene republic,1
5180,5180,784182,733512,El Rey Del Glam,Alaska Y Dinarama,1988,ԍԍԍA tope!!!,1984,,Rey del Glam,carlos garc_a berlanga+nacho canut+a. d_az+alaska y dinarama,1
5184,5184,812033,482578,Domenica Bestiale,Fabio Concato,1982,Il ladro di bambini,1992,,Domenica bestiale,fabio concato,1
5210,5210,807416,702620,Canta_ Canta_ Canta,Jos Alfredo Jimenez Con Acompaamiento Del Mariachi Vargas De Tecalitlan,0,Tres palomas alborotadas,1963,,Canta  Canta  Canta,jos alfredo jimnez+elvira quintana+mar_a duval+lucha villa,1
5218,5218,866719,260989,Here You Come Again,Dolly Parton,1977,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,0
5226,5226,21187,260989,I Will Always Love You,Dolly Parton and Vince Gill,2004,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,1
5236,5236,175293,260989,Living On Memories Of You,Dolly Parton,1974,The Porter Wagoner Show,1961,Bashful Brother Oswald (#1.501),I Will Always Love You,dolly parton,0
5273,5273,798089,596629,Love Theme,The Boston Pops Orchestra / John Williams,0,Robot Chicken: Star Wars Episode III,2010,,The Imperial March (Darth Vaders Theme),john williams,0
5274,5274,852804,596629,March,The Boston Pops Orchestra / John Williams,0,Robot Chicken: Star Wars Episode III,2010,,The Imperial March (Darth Vaders Theme),john williams,0
5336,5336,604910,179226,Fighting 17th,Hans Zimmer,1991,Pastor Mike Online,2011,(#1.40),Fighting 17th,hans zimmer,1
5344,5344,876213,45857,England Swings,Roger Miller,0,Chuck,2007,Chuck Versus the Subway (#3.18),England Swings,roger miller,1
5377,5377,786348,721892,Love In Bloom,Spike Jones & His City Slickers,2006,When Time Expires,1997,,LOVE THOSE LAZY DAYS,sam winans+the la city slickers,0
5393,5393,169555,583687,Suite Ana Magdalena,Johann Sebastian Bach,0,Professor Norman Cornett,2009,,1re Suite pour violoncelle-Prelude,johann sebastian bach+matt haimovitz,0
5464,5464,45719,656744,Bridal Chorus,Richard Wagner / Otto Sieben,1991,The Divorcee,1930,,Bridal Chorus (Here Comes the Bride),richard wagner,1
5477,5477,484715,605828,Human Beat Box,Fat Boys,0,Scarface: The World Is Yours,2006,,Human Beat Box,the fat boys,1
5493,5493,700034,215648,Ronnie Biggs Interviews Steve & Paul 1978 - Live,Sex Pistols,0,So It Goes,1976,(#1.10),Anarchy in the U.K. (Live),the sex pistols,0
5526,5526,730682,427439,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,El lince perdido,2008,,Waltz de El Lago de los Cisnes,pyotr ilyich tchaikovsky,1
5540,5540,60025,471985,The Mighty Quinn (Quinn_ The Eskimo),Bob Dylan,1991,Hollow Reed,1996,,The Mighty Quinn (Quinn the Eskimo),bob dylan,1
5551,5551,379037,214026,Rocket Man (I Think It's Going To Be A Long_ Long Time),Elton John,1976,Skeppsholmen,2002,(#1.6),Come Down in Time,elton john,0
5585,5585,706119,240998,Better Move It On Home,Porter Wagoner & Dolly Parton,2009,The Collection,2006,The Collection: Dolly Parton (#1.48),Welcome Home,dolly parton,0
5609,5609,394224,177620,Love Is A Dirty Word,Jason Collett,2010,Parenthood,2010,Amazing Andy and His Wonderful World of Bugs (#2.16),Love Is A Dirty Word,jason collett,1
5736,5736,699839,1815,I'm Too Sexy 2007 (Tastemakers Radio Mix),Right Said Fred,2007,20 to 1,2005,Sporty  Rich & Sexy (#9.4),Im Too Sexy,right said fred+richard fairbrass+fred fairbrass+rob manzoli,1
5744,5744,659980,637784,Blue Angel,Roy Orbison,1961,Syrj_hyppyj_,1996,,Blue Angel,roy orbison,1
5767,5767,507032,469457,I Do Not Want This,Nine Inch Nails,1994,Hey There,2011,,2 Ghost I,trent reznor+atticus ross+nine inch nails,0
5812,5812,470686,273591,Ignition,R. Kelly,2003,The Tonight Show Starring Jimmy Fallon,2014,Ricky Gervais/Ariana Grande (#3.134),Ignition (Remix),r. kelly,1
5840,5840,512713,435773,Woodpecker From Mars,Faith No More,1989,Faith No More: Live at the Brixton Academy,1990,,Woodpecker From Mars,faith no more,1
5894,5894,604990,655873,Old Fashioned Love,James P Johnson,0,The Delinquents,1957,,A Porters Love Song to a Chambermaid,james p. johnson+andy razaf+the bill nolan quintet minus two+julia lee   in the opening sequence,0
5918,5918,860444,21852,Destin,Cline Dion,1995,Banda sonora,2007,(#1.11),Destin,cline dion,1
5929,5929,825276,112131,Chapel of Love,The Dixie Cups,1964,Hollywood a Go Go,1964,(#1.54),Chapel of Love,phil spector+jeff barry+ellie greenwich+the dixie cups,1
5948,5948,753585,611257,We Went As Far As We Felt Like Going,The Pussycat Dolls,2004,Shark Tale,2004,,Far as We Felt Like Goin,kenny nolan d+bob crewe+the pussycat dolls,1
5949,5949,88751,314270,I've Been Loving You Too Long [Live Europe Version],Otis Redding,1967,WKRP in Cincinnati,1978,A Simple Little Wedding (#3.19),I Cant Turn You Loose,otis redding,0
5992,5992,212965,235354,Men In Black,Frank Black,1994,The Adam and Joe Show,1996,(#1.1),Men in Black,frank black,1
5997,5997,593519,662550,' Cello Song,Nick Drake,0,The Good Girl,2002,,Cello Song,nick drake,1
6051,6051,484280,216986,What You Waiting For?,Gwen Stefani,2004,So You Think You Can Dance,2005,Top 10 Results (#2.17),What You Waiting For?,gwen stefani,1
6077,6077,385101,12350,December Song (I Dreamed Of Christmas),George Michael,2009,American Idol: The Search for a Superstar,2002,Top 8 Perform (#11.25),How Will I Know,george merrill+shannon rubicam+narada michael walden+jessica sanchez,0
6083,6083,361886,205094,Dark 'N' Lovely,Stevie Wonder,0,Scrubs,2001,My Friend with Money (#6.5),Isnt She Lovely,and performed by stevie wonder,0
6124,6124,367238,89587,Lover_ You Should've Come Over,Jeff Buckley,0,Flashforward,2009,137 Sekunden (#1.3),Lover  You Shouldve Come Over,jeff buckley,1
6125,6125,111958,89587,Everybody Here Wants You,Jeff Buckley,1998,Flashforward,2009,137 Sekunden (#1.3),Lover  You Shouldve Come Over,jeff buckley,0
6129,6129,961470,700049,Instant Replay,Dan Hartman,1978,Top of the Pops: The Story of 1978,2013,,Instant Replay,dan hartman,1
6186,6186,817934,513768,You Remind Me Of Gold,The Human League,1982,Le nouveau,2015,,Dont You Want Me,the human league.,0
6216,6216,379327,381611,That Is The Way To Make A Broken Heart,Willy DeVille,0,CBGB,2013,,One Way Street,willy deville+mink deville,0
6220,6220,344072,391393,The Nutcracker Op.71-atto 2 - Chinese Dance,Pyotr Il'yich Tchaikovsky,0,Christmas Around Atlanta,2012,,Chinese Dance,pyotr ilyich tchaikovsky,1
6285,6285,386886,577132,High Hopes (Live In Gdansk),David Gilmour,0,Pink Floyd: P. U. L. S. E. Live at Earls Court,1994,,High Hopes,david gilmour,1
6292,6292,408619,219095,I've Got No Strings,Gipsy Kings,2000,Some Jerk with a Camera,2011,Its a Small World Holiday: Part Two (#1.10),Ive Got No Strings,gipsy kings,1
6340,6340,343665,609610,The Unknown Immortal,Joe Strummer,1987,Seven Psychopaths,2012,,The Unknown Immortal,joe strummer,1
6347,6347,57287,424843,Last Tango (Theme From Last Tango In Paris),Gato Barbieri,2002,Eat Pray Love,2010,,Last Tango in Paris Score,gato barbieri,1
6379,6379,512295,30762,I Will Wait For You,Jim Lauderdale/Ralph Stanley & The Clinch Mountain Boys,0,Big Love,2006,Rock and a Hard Place (#2.4),I Feel Like Singing Today,jim lauderdale+ralph stanley,0
6396,6396,539971,730259,The Hustle,Van McCoy & The Soul City Symphony,1975,Youre Dead...,1999,,The Hustle,van mccoy,1
6423,6423,632317,13455,Redneck Woman,Gretchen Wilson,2004,Amrica,2005,(2005-03-14),Redneck Woman,gretchen wilson,1
6438,6438,6682,107215,My Baby Left Me,Elvis Presley,1956,Hawaii Five-0,2010,Kupale (#2.17),Rock-a-Hula Baby,ben weisman+fred wise+dolores fuller .+elvis presley .,0
6451,6451,764342,68677,Alice's Theme,Danny Elfman,2010,Desperate Housewives,2004,Nice Is Different Than Good (#6.1),Desperate Housewives Theme,danny elfman,0
6456,6456,41720,395530,Beat Me 'Til I'm Blue,Alan Hawkshaw,2007,Colombiana,2011,,Beat Me til Im Blue,alan hawkshaw,1
6484,6484,459993,305783,The Man Comes Around,Johnny Cash,2002,True Blood,2008,The Fourth Man in the Fire (#1.8),The Fourth Man in the Fire,johnny cash,0
6487,6487,906500,729221,Dance With Me,Peter Brown,0,Yesterdays Hero,1979,,Dance With Me,peter h. brown,1
6514,6514,469404,442561,You Let My Love Grow Cold (Original),Quincy Jones & Dinah Washington,0,For Love of Ivy,1968,,You Put It on Me,quincy jones,0
6515,6515,710617,442561,They Didn't Believe Me (Original),Quincy Jones & Dinah Washington,0,For Love of Ivy,1968,,You Put It on Me,quincy jones,0
6549,6549,934408,482497,The Planets_ Suite for Large Orchestra_ Op. 32: II. Venus - The Bringer of Peace,Saint Louis Symphony Orchestra and Walter Susskind,0,Il divo - La spettacolare vita di Giulio Andreotti,2008,,Danse macabre op. 40,camille saint-sans+csr symphony orchestra,0
6568,6568,47660,219532,Glen Tipton,Sun Kil Moon,2003,Sons of Anarchy,2008,Burnt and Purged Away (#4.12),Glenn Tipton,sun kil moon,1
6571,6571,468829,232264,Baby I Feel Good With You,Brian Hyland,0,Tamori kurabu,1982,The 100th Anniversary: Seibu Ikebukuro Line 2/2,Baby Face,brian hyland,0
6580,6580,957142,543736,I Had The Craziest Dream,Harry James & His Orchestra,0,Mona Lisa Smile,2003,,Sh-Boom (Life Could Be a Dream),james keyes+carl feaster+floyd mcrae+claude feaster+james edwards+the trevor horn orchestra,0
6657,6657,715222,518496,Three Little Birds,Bob Marley & The Wailers,2007,Life and Debt,2001,,Three Little Birds,bob marley,1
6680,6680,441735,357215,Rock And Roll Hoochie Koo,Rick Derringer,1990,Bachelorette,2012,,Rock and Roll  Hoochie Koo,rick derringer,1
6686,6686,563306,191430,Sweet Child O' Mine,Guns N' Roses,1987,Rage,1987,Grinspoon Guest Program Rage II,Sweet Child o Mine,axl rose+slash+izzy stradlin+duff mckagan+steven adler+guns n roses,1
6792,6792,433796,33329,Mama Don't Allow It,Preservation Hall Jazz Band,1998,Boardwalk Empire,2010,Family Limitation (#1.6),Sweet Mama (Papas Getting Mad),peter frost+george a. little+fred rose+original dixieland jazz band,0
6815,6815,776720,394543,El Micrfono,Mexican Institute of Sound,2007,Coach,2010,,El Microfono,camilo lara+holger beier+mexican institute of sound,1
6819,6819,408823,101003,Right Where They Left,White Rabbits,2009,Gossip Girl,2007,The Debarted (#3.12),Right Where They Left,white rabbits,1
6874,6874,535557,708898,Pallas Athena (Gone Midnight Mix) (2003 Digital Remaster),David Bowie,0,Underworld,2003,,Bring Me the Disco King (Loner Mix),david bowie,0
6875,6875,906423,708898,Under Pressure (Rah Mix) (Radio Edit) (1999 Digital Remaster),Queen & David Bowie,1999,Underworld,2003,,Bring Me the Disco King (Loner Mix),david bowie,0
6915,6915,712305,696697,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,Tie ban shao,1984,,Raiders of the Lost Ark - Main Theme,john williams,0
6917,6917,798089,696697,Love Theme,The Boston Pops Orchestra / John Williams,0,Tie ban shao,1984,,Raiders of the Lost Ark - Main Theme,john williams,0
6928,6928,393791,155174,I Want You,Rick Springfield,0,Mission: Magic!,1973,Nephren (#1.13),I Know That Its Magic,rick springfield,0
6937,6937,87961,570966,No Hay Ni Un Coraz_n Que Valga La Pena,Miguel Bos,1999,Papito,2007,,Como un lobo,miguel bos+giorgio vanni+claudio donofrio+paolo costa+marco tazzi+m. ogletree+bimba bos,0
6947,6947,952441,296281,9 to 5,Dolly Parton,1980,Today,1982,(2011-06-07),9 to 5,dolly parton,1
6989,6989,549498,718411,Batman Theme,Neal Hefti,1966,Waynes World 2,1993,,BATMAN THEME,neal hefti,1
7098,7098,728432,685192,4 O'Clock Blues,Skip James,1994,The Soul of a Man,2003,,22-20 Blues,skip james,0
7100,7100,632813,685192,22-20 Blues,Skip James,1968,The Soul of a Man,2003,,22-20 Blues,skip james,1
7101,7101,806567,685192,Yola My Blues Away,Skip James,1994,The Soul of a Man,2003,,22-20 Blues,skip james,0
7146,7146,281769,270790,Mozart: Le Nozze di Figaro: Eccovi_ o caro amico_ il dolce frutto... Dove sono i bei momenti,Wolfgang Amadeus Mozart,0,The Strain,2014,The Disappeared (#1.9),O Isis und Osiris,wolfgang amadeus mozart,0
7157,7157,709993,266488,Perversion 99,Rob Zombie,1998,The Scissoring: Origins,2014,The Final (#1.8)} {{SUSPENDED},Perversion 99,rob zombie,1
7161,7161,763219,102452,They Said I Said,SugaRush Beat Company,0,Greys Anatomy,2005,All by Myself (#5.10),They Said I Said,sugarush beat company,1
7166,7166,54120,229916,Crazy Circles,Bad Company,1979,Supernatural,2005,Fresh Blood (#3.7),Crazy Circles,bad company,1
7171,7171,449022,498940,Goodbye Old Paint,Arthur Russell,2008,Keep the Lights On,2012,,Goodbye Old Paint,arthur russell,1
7204,7204,890680,555486,Chitlins Con Carne (Alternate Take) (1985 Digital Remaster),Kenny Burrell,0,New York Beat Movie,1981,,Chitlins Con Carne,kenny burrell,1
7228,7228,918617,177867,Rapper's Delight,The Sugarhill Gang,1979,Parenthood,2010,Keep on Rowing (#4.12),Rappers Delight,sugarhill gang,1
7297,7297,707032,716688,Let's Duet,John C. Reilly;Angela Correa,0,Walk Hard: The Dewey Cox Story,2007,,Lets Duet,charlie wadhams+benji hughes+john c. reilly+angela correa,1
7312,7312,833015,490687,Sarcasms_ Op. 17_ No. 1,Sergei Prokofiev,0,Je suis le seigneur du chteau,1989,,Romeo et Juliette  Op. 64: Ballet,sergei prokofiev,0
7332,7332,242923,600398,If You Want To Get To Heaven,The Ozark Mountain Daredevils,1994,Run Ronnie Run,2002,,If You Wanna Get to Heaven,steve cash+john dillon+the ozark mountain daredevils,1
7335,7335,905861,256782,Piano Sonata (moonlight) N.14 In C Sharp Minor Op.27 N.2 : Adagio Sostenuto,Ludwig van Beethoven,0,The Muppet Show,1976,Helen Reddy (#3.13),Pathtique Sonata,ludwig van beethoven,0
7338,7338,949050,413696,Coconut,Harry Nilsson,1989,Dick,1999,,Coconut,harry nilsson,1
7350,7350,388699,152309,Under The Sheets,Ellie Goulding,2009,Mencaps Little Noise Sessions,2009,(2009-12-08),Under The Sheets,ellie goulding,1
7359,7359,877636,136402,The Count (aka Herv) And Lily Face The Fear,Lily Allen,2009,Later... With Jools Holland,1992,(#34.4),The Fear,lily allen,0
7400,7400,872553,516729,Cello Concerto No. 2 in D Major_ Hob. VIIb/2: III. Allegro,Bamberg Symphony Orchestra,0,Les visiteurs,1993,,Concerto pour violon et orchestre en Mi mineur,felix mendelssohn-bartholdy+the czech symphony orchestra,0
7531,7531,66307,565592,MADAMA BUTTERFLY: Adesso voi siete per me,Giacomo Puccini,0,One Eyed Girl,2014,,Madam Butterfly: Humming Chorus,giacomo puccini,1
7540,7540,379844,516382,Dialogue des Carmlites (2004 Digital Remaster)_ Premier Acte_ Troisime tableau: Prlude,Pierre Dervaux/Choeurs et Orchestre du Thtre National de l'Opra_ Paris,0,Les onze mille verges,1975,,Duo Des Chattes,michel colombier  et son orchestre,0
7588,7588,565881,257423,No Anesthetic for Love,The Nat King Cole Trio,0,The Nat King Cole Show,1954,(#1.13),This Cant Be Love,richard rodgers+nat king cole,0
7622,7622,260081,649512,You Baby,The Lovin' Spoonful,1965,The Big T.N.T. Show,1966,,Do You Believe In Magic?,john sebastian+the lovin spoonful,0
7643,7643,314493,485304,Gett Off,Prince & The New Power Generation [with Eric Leeds on Flute],1991,Innocent Blood,1992,,Gett Off,prince+the new power generation+arrangement with warner special products,1
7664,7664,296275,733176,Triangles & Rhombuses,Boards of Canada,1998,i,2004,,Triangles And Rhombuses,boards of canada,1
7685,7685,116318,725451,I Hate Men,Cole Porter,1949,Winning Your Wings,1942,,I Get a Kick Out of You,cole porter,0
7731,7731,695201,300520,C'Mon Everybody (1993 Digital Remaster),Sex Pistols,2002,Top of the Pops,1964,(1979-07-19),CMon Everybody,sharon sheeley+bob cochran+the sex pistols,1
7878,7878,175859,215835,100% Pure Love,Crystal Waters,1994,So You Think You Can Dance Canada,2008,Top 12 (#1.13),100% Pure Love,crystal waters,1
7893,7893,549520,491950,Never Gonna Sleep,Free Kitten,1997,Jidder,1998,,Never Gonna Sleep,free kitten,1
7930,7930,954761,337235,Eanie Meany 2 (Album Version),Jim Noir,2005,A.C.O.D.,2013,,Eeny Meany,jim noir,1
7931,7931,372252,678530,Carmen Suite: Intermezzo,Georges Bizet,1993,The Pink Panther,2006,,Carmen - Prelude to Act I,georges bizet,1
7967,7967,432836,174964,Este Loco Que Te Mira,Marc Anthony,2001,Operaci_n triunfo,2001,(#2.3),Te tenqo aqu_,marc anthony,0
7971,7971,911940,338828,Rock And Roll (Bonus Track),Bertice Reading,0,Absolute Beginners,1986,,Rock Baby Rock,bertice reading,0
7977,7977,563319,254974,A Swingin Safari,Bert Kaempfert And His Orchestra,2003,The Match Game,1962,(#5.93),A Swingin Safari (The Theme of The Match Game),bert kaempfert,1
7979,7979,681192,241095,Closer (Further Away),Nine Inch Nails,1994,The Comix Scrutinizer,2012,The Nine Lives of Fritz the Cat (#3.1),Closer,trent reznor+nine inch nails,1
8042,8042,650355,88273,It Wasn't God Who Made Honky Tonk Angels,Dolly Parton,2003,Fern Britton Meets...,2009,Dolly Parton (#1.1),Hello God,dolly parton,0
8222,8222,52314,8029,I Get Around (Mono),The Beach Boys,2009,Age tendre et t_te de bois,1961,(1964-11-10),I get around,brian wilson+mike love+the beach boys,1
8255,8255,730682,548466,Waltz Of The Flowers From  Nutcracker,Pyotr Il'yich Tchaikovsky,0,Museum Scream,2003,,The Nutcracker - Dance of the Sugar Plum Fairy,pyotr ilyich tchaikovsky,0
8284,8284,809980,710797,Life On Mars? (Live At The Manhattan Center_ New York),David Bowie,2009,VIII Premis Gaud_ de lAcadmia del Cinema Catal_,2016,,Life on Mars,david bowie,1
8340,8340,722722,127424,Redemption Day,Sheryl Crow,1996,Katie,2012,Dying to Be Beautiful (#1.85),This Day,sheryl crow,0
8393,8393,568632,728921,Iguazu,Gustavo A. Santaolalla,1999,Yes,2004,,Iguazu,gustavo santaolalla,1
8414,8414,712305,124926,New York_ New York (Main Theme),The Boston Pops Orchestra / John Williams,0,JonTron,2010,Home Alone Games (#5.1),Home Alone Theme,john williams,0
8448,8448,216111,254171,Lord_ Give Me Just A Little More Time,Marty Stuart And His Fabulous Superlatives,0,The Marty Stuart Show,2008,The Oak Ridge Boys (#1.23),Just a Little Talk with Jesus,cleavant derricks+the oak ridge boys+marty stuart+the fabulous superlatives,0
8457,8457,835974,85514,Who Do You Love,Steve Miller Band,1994,Everybody Loves Raymond,1996,Crazy Chin (#8.18),Jungle Love,steve miller band,0
8467,8467,928096,143330,Morfina,Mundo Co,2006,Lua Vermelha,2010,(#1.197),Morfina,mundo co,1
8468,8468,167569,207908,Winter,Joshua Radin,2004,Shameless,2011,Fiona Interrupted (#2.12),Winter,joshua radin,1
8473,8473,568632,627106,Iguazu,Gustavo A. Santaolalla,1999,Sputnik Mania,2007,,Iguazu,gustavo santaolalla,1
8521,8521,336201,410065,Piano Concerto No. 3 In C Major_ Op. 26: 2. Theme And Variations,Leif Ove Andsnes & Bergen Philharmonic Orchestra,0,Degenerate Art,1993,,Concert Music for Piano  Brass & Harps  Op. 49,paul hindemith+the philharmonic orchestra,0
8531,8531,934395,410065,Dynamic Triptych for Piano & Orchestra_ Op. 88: III. Dynamic Rhythm,Royal Philharmonic Orchestra,0,Degenerate Art,1993,,Concert Music for Piano  Brass & Harps  Op. 49,paul hindemith+the philharmonic orchestra,0
8655,8655,702210,149452,Love Is All Around (The Mary Tyler Moor Show Theme),Sonny Curtis,0,Mary Tyler Moore,1970,One Producer Too Many (#7.6),Love Is All Around,sonny curtis,1
8751,8751,705069,249740,All I Really Want To Do,Bob Dylan,1964,The Johnny Cash Show,1969,(#1.1),I Threw It All Away,bob dylan,0
8827,8827,555070,75090,Ballet Suite From The Nutcracker Op. 71a: Dance Of The Sugar Plum Fairy,London Festival Orchestra,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
8840,8840,490714,75090,Close Encounters of the Third Kind - Suite,The Boston Pops Orchestra / John Williams,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
8854,8854,163194,75090,Suite from Born on the Fourth of July/I.  Theme from Born on the Fourth of July,John Williams;The Boston Pops Orchestra,0,Downton Abbey,2010,(#3.5),Downton Abbey - The Suite,john lunn+the chamber orchestra of london,0
8868,8868,814533,362965,Ice,Sarah McLachlan,1993,Bed of Roses,1996,,Ice Cream,sarah mclachlan,1
8889,8889,782716,166512,No One Knows About A Good Thing (You Don't Have To Cry) (Album Version),Curtis Mayfield,1996,New York Undercover,1994,The Unthinkable (#3.20),No One Knows About a Good Thing (You Dont Have to Cry),curtis mayfield,1
8913,8913,252200,442498,4-Minute Warning (Album Version),John Paul Jones,0,For All Mankind,1989,,4-Minute Warning,john paul jones,1
8919,8919,98916,175439,One More Time With Feeling (Album Version),Regina Spektor,2009,Orange Is the New Black,2013,Take a Break from Your Values (#2.11),Youve Got Time,regina spektor,0
8947,8947,949827,300623,Right Down The Line,Gerry Rafferty,1978,Top of the Pops,1964,(1979-09-13),Get it Right Next Time,gerry rafferty,0
8979,8979,81840,485681,Symphony No. 4 in F minor Op. 36 (2007 Digital Remaster): IV. Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
8980,8980,307853,485681,Symphony No. 4 in F minor Op. 36 (2003 Digital Remaster): IV.     Allegro con fuoco,Royal Philharmonic Orchestra/Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
8999,8999,309675,485681,Finale Medley: Waterloo / Dancing Queen / Fernando,Royal Philharmonic Orchestra,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
9004,9004,155870,485681,Symphony No. 100 'Military' (Rehearsal Sequence),The Royal Philharmonic Orchestra_ Sir Thomas Beecham,0,Interlude,1968,,Excerpts From Beethoven Symphony No. 5 - Finale,ludwig van beethoven+the royal philharmonic orchestra  conducted by ernest fleischmann,0
9018,9018,764342,231923,Alice's Theme,Danny Elfman,2010,Tales from the Crypt,1989,The Ventriloquists Dummy (#2.10),Tales from the Crypt Theme,danny elfman,0
